z,value,err_neg,err_pos
0,6e+07,5e+06,5e+06
0,5.1e+07,4500000,4500000
0,1.03e+08,8500000,8500000
0.028,6.5e+07,6e+06,1.3e+07
0.096,7.3e+07,1e+07,1.3e+07
0.06,3.7e+07,5500000,5500000
0.1,5.3e+07,4e+06,4e+06
0.2,5.5e+07,7e+06,7e+06
0.24,1.11e+08,24500000,24500000
0.3,6.2e+07,4500000,4500000
1.265,,,
1,9.9e+07,3.6e+07,5.5e+07
0.75,1.11e+08,18500000,18500000
1.27,9.6e+07,11500000,11500000
0.245,4e+07,1.9e+07,3.1e+07
0.805,3.3e+07,1.6e+07,2.6e+07
1.775,1.01e+08,2.9e+07,3.4e+07
2.35,1.45e+08,3e+07,3.4e+07
3.1,1.33e+08,3e+07,3.5e+07
4.175,8.2e+07,2.7e+07,3e+07
2.14,2.13e+08,8.6e+07,1.28e+08
2.97,7.9e+07,3.8e+07,6.3e+07
3.855,1.78e+08,4.2e+07,4.9e+07
2.15,1.42e+08,7e+06,7e+06
2.45,1.25e+08,6e+06,6e+06
2.75,1.5e+08,7e+06,7e+06
3.05,1.58e+08,1.1e+07,1.1e+07
3.35,1.83e+08,1.9e+07,1.9e+07
2.3,7.4e+07,1.3e+07,1.3e+07
2.55,1e+08,1.1e+07,1.1e+07
2.85,1e+08,1e+07,1e+07
3.15,1.4e+08,1.2e+07,1.2e+07
3.35,1.62e+08,2.8e+07,2.8e+07
4.75,1.58e+08,3e+07,3.4e+07
2.975,1.48e+08,5e+07,6.6e+07
3.615,1.31e+08,4.5e+07,5.1e+07
4.43,1.16e+08,4.2e+07,5.2e+07
4.005,1.87e+08,4e+07,4.2e+07
4.88,1.56e+08,2.7e+07,3.1e+07
