X,Y,z
1253330.35574634,0.0905511067759994,0.05
1967201.94813255,0.0437936483032904,0.05
3001897.58527068,0.0189075095215116,0.05
4645805.54503482,0.00854230736626146,0.05
6990201.9488445,0.0172662886986456,0.05
10666861.3106604,0.0100135257915189,0.05
16049641.7680506,0.00696379058364453,0.05
24491324.2962712,0.00728724493839011,0.05
37903335.136799,0.00506783012689229,0.05
59492307.3393766,0.00394797953370576,0.05
90783670.6413343,0.0021388799924163,0.05
144513811.90121,0.000988521493439064,0.05
223652889.412021,0.000164489567063825,0.05
331806567.038205,2.2313161402394e-05,0.05
38986467.5834265,0.00680748777449029,0.15
62060533.6096498,0.00567696492453418,0.15
90783670.6413343,0.00368806354621822,0.15
144513811.90121,0.00186652333439318,0.15
223652889.412021,0.000547843450997503,0.15
331806567.038205,9.32540168283228e-05,0.15
520796868.988334,1.18171786156707e-05,0.15
142492211.191923,0.00209087266835293,0.25
226825952.950633,0.00105818746770985,0.25
341288330.515378,0.00025900908962451,0.25
528185647.020015,3.76109455604691e-05,0.25
211398348.349412,0.00132785586985211,0.35
336514055.157444,0.000627782880997741,0.35
520796868.988334,0.000117018862357883,0.35
805997177.803318,1.23660632838889e-05,0.35
346130340.652422,0.000843284834025623,0.45
520796868.988334,0.00025900908962451,0.45
794722100.045049,3.43462180218533e-05,0.45
