X,Y
1253330.3557463437,0.09055110677599937
1967201.948132548,0.043793648303290425
3001897.585270683,0.01890750952151157
4645805.5450348165,0.008542307366261458
6990201.948844501,0.01726628869864559
10666861.310660362,0.010013525791518874
16049641.768050576,0.00696379058364453
24491324.2962712,0.007287244938390112
37903335.13679903,0.0050678301268922915
59492307.33937665,0.003947979533705762
90783670.64133431,0.0021388799924163026
144513811.9012097,0.0009885214934390635
223652889.4120211,0.00016448956706382505
331806567.0382051,2.231316140239398e-05
38986467.58342651,0.006807487774490292
62060533.609649844,0.005676964924534178
90783670.64133431,0.0036880635462182227
144513811.9012097,0.0018665233343931815
223652889.4120211,0.0005478434509975033
331806567.0382051,9.325401682832278e-05
520796868.98833346,1.1817178615670654e-05
142492211.19192335,0.002090872668352933
226825952.95063305,0.0010581874677098508
341288330.5153783,0.0002590090896245104
528185647.02001506,3.761094556046909e-05
211398348.34941217,0.0013278558698521148
336514055.15744436,0.0006277828809977414
520796868.98833346,0.00011701886235788323
805997177.803318,1.2366063283888897e-05
346130340.6524219,0.0008432848340256231
520796868.98833346,0.0002590090896245104
794722100.0450491,3.434621802185329e-05
