Mdust,phi,z
5019228.21476157,0.0236229066263449,0.175
9024310.14770603,0.0113066339794965,0.175
13021160.1833985,0.00691830970918942,0.175
20217734.2672845,0.00374397838982383,0.175
33780215.8553125,0.00292864456462527,0.175
48741410.0892367,0.00140173741834679,0.175
87634509.3032782,0.00046415888336128,0.175
136068614.223524,6.50628874865559e-05,0.175
509338341.033446,3.98107170553496e-05,0.175
27252521.9785575,0.00531484001458098,0.325
49953347.1082329,0.00235802833588696,0.325
77616160.1002668,0.00114504756993828,0.325
127427498.570313,0.000354013323973658,0.325
221053607.935815,6.36680529262369e-05,0.325
362918086.553304,1.64318429150627e-05,0.325
68313705.3293939,0.00355224244570402,0.6
114587594.623729,0.00140363664248771,0.6
183377681.095299,0.000427658769738323,0.6
279984805.185457,0.000140345954845966,0.6
492249304.319609,2.36028217902508e-05,0.6
717054573.05584,2.19103491172518e-06,0.6
197279503.937762,0.00125418226637949,1
339420215.545041,0.000404163767300011,1
506895029.660801,0.000120772265513446,1
892934642.191481,3.89192026739294e-05,1
1302429121.96234,3.4752304314023e-06,1
301653380.56231,0.000446895273358438,1.5
531385667.005854,0.000179946760611581,1.5
812523752.519389,9.44732034652809e-05,1.5
1302429121.96234,1.53174046370208e-05,1.5
2039042272.68975,3.3631711678116e-06,1.5
472259092.102906,0.000192044029448835,2.15
757004324.807893,7.56036059924877e-05,2.15
1185142279.80914,3.32864290268438e-05,2.15
1855421663.20864,1.31041515441274e-05,2.15
3268468187.70388,1.50708466856443e-06,2.15
12249398236.7531,3.93678502838487e-07,2.15
